idArea,nombre_area,descripcion,id_subarea
168,Contend Management Systems (CMS),"Sistemas de administracion de contenido, archivos, p�ginas web, blogs,entre otros",
169,Sistemas de Telecomunicaciones,'',
170,Sistemas de Informacion Geogr�fico,'',
171,Ciencias Juridicas,Ciencias Juridicas,
172,Programacion y Aplicaciones Web,El estudio y programacion de aplicaciones web,
173,Estandares Web,Especifica los estandares formales y otras especificaciones que definen  aspectos de la worl wide we,
174,Tecnologia Web,'',
175,PLANEACIoN Y CONTROL DE PRODUCCIoN DE LA MANO DE OBRA DIRECTA.,Controlar la parte productiva del personal de planta,
176,Redes Multimedia,'',
177,E-learning,aprendizaje por internet,
178,Did�ctica y Multimedia Interactiva,'',
179,business intelligence,Se denomina inteligencia empresarial o inteligencia de negocios o BI,
180,Dinamica de sistemas,es una metodologia para la construccion de modelos de simulacion para sistemas complejos,
181,Ingenieria de Calidad,Referido a control de calidad en productos de software.,
182,Ingenieria de Calidad,Referido a control de calidad de productos de software,
183,Business Intelligence,Se denomina inteligencia empresarial o inteligencia de negocios o BI,
184,Dom�tica,"Se entiende por dom�tica al conjunto de sistemas capaces de automatizar una vivienda, aportando servicios de gestion energ�tica, seguridad, bienestar y comunicacion",
185,Telemetria,La telemetria es una tecnologia que permite la medicion remota de magnitudes f�sicas y el posterior env�o de la informacion hacia el operador,
186,Base de Datos Relacionales Difusas,"La Base de Datos Relacionales Difusas, nos ayuda a poder realizar consultas con tipos de datos imprecisa.",
187,Seguridad en base de datos,Seguridad en base de datos,
188,Electronica,'',
189,Multimedia Interactivo,'',
190,Seguridad en Aplicaciones Web,Seguridad en Aplicaciones Web,
191,Administracion de Servidores,'',
192,Disenio Avanzado de Software,Disenio Avanzado de Software,
193,Interaccion Humano-Computadora,Interaccion Humano-Computadora,
194,Linguistica Computacional,'',
195,sistemas orientados a objetos,'',
196,Interfaces Gr�ficas de Usuario WEB,Interfaces Gr�ficas de Usuario WEB,
197,Gestion y Administracion de Informacion,'',
